Date,Visitor Team,VisitorPts,Home Team,HomePts,OT?,Score Type,Notes
2014-03-27,Portland Trail Blazers,100,Atlanta Hawks,85,,Box Score,
2014-03-27,Philadelphia 76ers,98,Houston Rockets,120,,Box Score,
2014-03-27,Los Angeles Lakers,105,Milwaukee Bucks,108,,Box Score,
2014-03-27,Los Angeles Clippers,109,Dallas Mavericks,103,,Box Score,
2014-03-28,Charlotte Bobcats,105,Orlando Magic,110,OT,Box Score,
2014-03-28,Boston Celtics,103,Toronto Raptors,105,,Box Score,
2014-03-28,Indiana Pacers,78,Washington Wizards,91,,Box Score,
2014-03-28,Cleveland Cavaliers,97,Brooklyn Nets,108,,Box Score,
2014-03-28,Miami Heat,110,Detroit Pistons,78,,Box Score,
2014-03-28,Portland Trail Blazers,91,Chicago Bulls,74,,Box Score,
2014-03-28,Los Angeles Lakers,107,Minnesota Timberwolves,143,,Box Score,
2014-03-28,Utah Jazz,95,New Orleans Pelicans,102,,Box Score,
2014-03-28,Sacramento Kings,81,Oklahoma City Thunder,94,,Box Score,
2014-03-28,San Antonio Spurs,133,Denver Nuggets,102,,Box Score,
2014-03-28,New York Knicks,88,Phoenix Suns,112,,Box Score,
2014-03-28,Memphis Grizzlies,93,Golden State Warriors,100,,Box Score,
2014-03-29,Detroit Pistons,98,Philadelphia 76ers,123,,Box Score,
2014-03-29,Los Angeles Clippers,118,Houston Rockets,107,,Box Score,
2014-03-29,Atlanta Hawks,97,Washington Wizards,101,,Box Score,
2014-03-29,Sacramento Kings,100,Dallas Mavericks,103,,Box Score,
2014-03-29,Miami Heat,88,Milwaukee Bucks,67,,Box Score,
2014-03-29,New Orleans Pelicans,80,San Antonio Spurs,96,,Box Score,
2014-03-30,Indiana Pacers,76,Cleveland Cavaliers,90,,Box Score,
2014-03-30,Utah Jazz,96,Oklahoma City Thunder,116,,Box Score,
2014-03-30,Minnesota Timberwolves,99,Brooklyn Nets,114,,Box Score,
2014-03-30,Toronto Raptors,98,Orlando Magic,93,,Box Score,
2014-03-30,Chicago Bulls,107,Boston Celtics,102,,Box Score,
2014-03-30,New York Knicks,89,Golden State Warriors,84,,Box Score,
2014-03-30,Memphis Grizzlies,98,Portland Trail Blazers,105,,Box Score,
2014-03-30,Phoenix Suns,99,Los Angeles Lakers,115,,Box Score,
2014-03-31,Washington Wizards,94,Charlotte Bobcats,100,,Box Score,
2014-03-31,San Antonio Spurs,103,Indiana Pacers,77,,Box Score,
2014-03-31,Philadelphia 76ers,95,Atlanta Hawks,103,,Box Score,
2014-03-31,Milwaukee Bucks,111,Detroit Pistons,116,,Box Score,
2014-03-31,Toronto Raptors,83,Miami Heat,93,,Box Score,
2014-03-31,Boston Celtics,80,Chicago Bulls,94,,Box Score,
2014-03-31,Los Angeles Clippers,114,Minnesota Timberwolves,104,,Box Score,
2014-03-31,Sacramento Kings,102,New Orleans Pelicans,97,,Box Score,
2014-03-31,Memphis Grizzlies,94,Denver Nuggets,92,,Box Score,
2014-03-31,New York Knicks,92,Utah Jazz,83,,Box Score,
2014-04-01,Houston Rockets,96,Brooklyn Nets,105,,Box Score,
2014-04-01,Golden State Warriors,122,Dallas Mavericks,120,OT,Box Score,
2014-04-01,Portland Trail Blazers,124,Los Angeles Lakers,112,,Box Score,
2014-04-02,Detroit Pistons,94,Indiana Pacers,101,,Box Score,
2014-04-02,Brooklyn Nets,81,New York Knicks,110,,Box Score,
2014-04-02,Cleveland Cavaliers,119,Orlando Magic,98,,Box Score,
2014-04-02,Charlotte Bobcats,123,Philadelphia 76ers,93,,Box Score,
2014-04-02,Houston Rockets,103,Toronto Raptors,107,,Box Score,
2014-04-02,Boston Celtics,92,Washington Wizards,118,,Box Score,
2014-04-02,Chicago Bulls,105,Atlanta Hawks,92,,Box Score,
2014-04-02,Milwaukee Bucks,77,Miami Heat,96,,Box Score,
2014-04-02,Memphis Grizzlies,88,Minnesota Timberwolves,102,,Box Score,
2014-04-02,Golden State Warriors,90,San Antonio Spurs,111,,Box Score,
2014-04-02,New Orleans Pelicans,107,Denver Nuggets,137,,Box Score,
2014-04-02,Los Angeles Clippers,112,Phoenix Suns,108,,Box Score,
2014-04-02,Los Angeles Lakers,102,Sacramento Kings,107,,Box Score,
2014-04-03,San Antonio Spurs,94,Oklahoma City Thunder,106,,Box Score,
2014-04-03,Dallas Mavericks,113,Los Angeles Clippers,107,,Box Score,
2014-04-04,Orlando Magic,80,Charlotte Bobcats,91,,Box Score,
2014-04-04,Denver Nuggets,92,Memphis Grizzlies,100,,Box Score,
2014-04-04,Indiana Pacers,94,Toronto Raptors,102,,Box Score,
2014-04-04,Cleveland Cavaliers,98,Atlanta Hawks,117,,Box Score,
2014-04-04,Philadelphia 76ers,111,Boston Celtics,102,,Box Score,
2014-04-04,Detroit Pistons,104,Brooklyn Nets,116,,Box Score,
2014-04-04,Minnesota Timberwolves,122,Miami Heat,121,2OT,Box Score,
2014-04-04,Washington Wizards,90,New York Knicks,89,,Box Score,
2014-04-04,Milwaukee Bucks,90,Chicago Bulls,102,,Box Score,
2014-04-04,New Orleans Pelicans,96,Utah Jazz,100,,Box Score,
2014-04-04,Oklahoma City Thunder,107,Houston Rockets,111,,Box Score,
2014-04-04,Phoenix Suns,109,Portland Trail Blazers,93,,Box Score,
2014-04-04,Sacramento Kings,69,Golden State Warriors,102,,Box Score,
2014-04-04,Dallas Mavericks,107,Los Angeles Lakers,95,,Box Score,
2014-04-05,Minnesota Timberwolves,92,Orlando Magic,100,,Box Score,
2014-04-05,Chicago Bulls,96,Washington Wizards,78,,Box Score,
2014-04-05,Charlotte Bobcats,96,Cleveland Cavaliers,94,OT,Box Score,
2014-04-05,Boston Celtics,111,Detroit Pistons,115,,Box Score,
2014-04-05,Brooklyn Nets,105,Philadelphia 76ers,101,,Box Score,
2014-04-05,Toronto Raptors,102,Milwaukee Bucks,98,,Box Score,
2014-04-06,New York Knicks,91,Miami Heat,102,,Box Score,
2014-04-06,Los Angeles Lakers,97,Los Angeles Clippers,120,,Box Score,
2014-04-06,Atlanta Hawks,107,Indiana Pacers,88,,Box Score,
2014-04-06,Dallas Mavericks,93,Sacramento Kings,91,,Box Score,
2014-04-06,Denver Nuggets,125,Houston Rockets,130,OT,Box Score,
2014-04-06,Memphis Grizzlies,92,San Antonio Spurs,112,,Box Score,
2014-04-06,Utah Jazz,102,Golden State Warriors,130,,Box Score,
2014-04-06,Oklahoma City Thunder,115,Phoenix Suns,122,,Box Score,
2014-04-06,New Orleans Pelicans,94,Portland Trail Blazers,100,,Box Score,
2014-04-08,Detroit Pistons,102,Atlanta Hawks,95,,Box Score,
2014-04-08,Brooklyn Nets,88,Miami Heat,87,,Box Score,
2014-04-08,San Antonio Spurs,91,Minnesota Timberwolves,110,,Box Score,
2014-04-08,Dallas Mavericks,95,Utah Jazz,83,,Box Score,
2014-04-08,Oklahoma City Thunder,107,Sacramento Kings,92,,Box Score,
2014-04-08,Houston Rockets,145,Los Angeles Lakers,130,,Box Score,
2014-04-09,Detroit Pistons,100,Cleveland Cavaliers,122,,Box Score,
2014-04-09,Brooklyn Nets,111,Orlando Magic,115,,Box Score,
2014-04-09,Philadelphia 76ers,114,Toronto Raptors,125,,Box Score,
2014-04-09,Charlotte Bobcats,94,Washington Wizards,88,OT,Box Score,
2014-04-09,Boston Celtics,97,Atlanta Hawks,105,,Box Score,
2014-04-09,Miami Heat,102,Memphis Grizzlies,107,,Box Score,
2014-04-09,Indiana Pacers,104,Milwaukee Bucks,102,,Box Score,
2014-04-09,Chicago Bulls,102,Minnesota Timberwolves,87,,Box Score,
2014-04-09,Phoenix Suns,94,New Orleans Pelicans,88,,Box Score,
2014-04-09,Houston Rockets,116,Denver Nuggets,123,,Box Score,
2014-04-09,Sacramento Kings,99,Portland Trail Blazers,100,,Box Score,
2014-04-09,Oklahoma City Thunder,107,Los Angeles Clippers,101,,Box Score,
2014-04-10,San Antonio Spurs,109,Dallas Mavericks,100,,Box Score,
2014-04-10,Denver Nuggets,100,Golden State Warriors,99,,Box Score,
2014-04-11,Washington Wizards,96,Orlando Magic,86,,Box Score,
2014-04-11,New York Knicks,108,Toronto Raptors,100,,Box Score,
2014-04-11,Charlotte Bobcats,103,Boston Celtics,106,,Box Score,
2014-04-11,Atlanta Hawks,93,Brooklyn Nets,88,,Box Score,
2014-04-11,Indiana Pacers,86,Miami Heat,98,,Box Score,
2014-04-11,Detroit Pistons,98,Chicago Bulls,106,,Box Score,
2014-04-11,Philadelphia 76ers,95,Memphis Grizzlies,117,,Box Score,
2014-04-11,Houston Rockets,110,Minnesota Timberwolves,112,,Box Score,
2014-04-11,New Orleans Pelicans,94,Oklahoma City Thunder,116,,Box Score,
2014-04-11,Cleveland Cavaliers,116,Milwaukee Bucks,119,,Box Score,
2014-04-11,Phoenix Suns,104,San Antonio Spurs,112,,Box Score,
2014-04-11,Portland Trail Blazers,111,Utah Jazz,99,,Box Score,
2014-04-11,Golden State Warriors,112,Los Angeles Lakers,95,,Box Score,
2014-04-12,Sacramento Kings,101,Los Angeles Clippers,117,,Box Score,
2014-04-12,Philadelphia 76ers,105,Charlotte Bobcats,111,,Box Score,
2014-04-12,Milwaukee Bucks,91,Washington Wizards,104,,Box Score,
2014-04-12,Miami Heat,85,Atlanta Hawks,98,,Box Score,
2014-04-12,Boston Celtics,111,Cleveland Cavaliers,99,,Box Score,
2014-04-12,New Orleans Pelicans,104,Houston Rockets,111,,Box Score,
2014-04-12,Phoenix Suns,98,Dallas Mavericks,101,,Box Score,
2014-04-12,Utah Jazz,94,Denver Nuggets,101,,Box Score,
2014-04-13,Oklahoma City Thunder,97,Indiana Pacers,102,,Box Score,
2014-04-13,Toronto Raptors,116,Detroit Pistons,107,,Box Score,
2014-04-13,Orlando Magic,88,Brooklyn Nets,97,,Box Score,
2014-04-13,Chicago Bulls,89,New York Knicks,100,,Box Score,
2014-04-13,Golden State Warriors,117,Portland Trail Blazers,119,OT,Box Score,
2014-04-13,Minnesota Timberwolves,103,Sacramento Kings,106,,Box Score,
2014-04-13,Memphis Grizzlies,102,Los Angeles Lakers,90,,Box Score,
2014-04-14,Boston Celtics,108,Philadelphia 76ers,113,,Box Score,
2014-04-14,Milwaukee Bucks,100,Toronto Raptors,110,,Box Score,
2014-04-14,Miami Heat,93,Washington Wizards,114,,Box Score,
2014-04-14,Charlotte Bobcats,95,Atlanta Hawks,93,,Box Score,
2014-04-14,Orlando Magic,95,Chicago Bulls,108,,Box Score,
2014-04-14,San Antonio Spurs,98,Houston Rockets,104,,Box Score,
2014-04-14,Oklahoma City Thunder,89,New Orleans Pelicans,101,,Box Score,
2014-04-14,Los Angeles Lakers,119,Utah Jazz,104,,Box Score,
2014-04-14,Memphis Grizzlies,97,Phoenix Suns,91,,Box Score,
2014-04-14,Minnesota Timberwolves,120,Golden State Warriors,130,,Box Score,
2014-04-15,New York Knicks,109,Brooklyn Nets,98,,Box Score,
2014-04-15,Denver Nuggets,105,Los Angeles Clippers,117,,Box Score,
2014-04-16,Chicago Bulls,86,Charlotte Bobcats,91,OT,Box Score,
2014-04-16,Indiana Pacers,101,Orlando Magic,86,,Box Score,
2014-04-16,Washington Wizards,118,Boston Celtics,102,,Box Score,
2014-04-16,Brooklyn Nets,85,Cleveland Cavaliers,114,,Box Score,
2014-04-16,Dallas Mavericks,105,Memphis Grizzlies,106,OT,Box Score,
2014-04-16,Philadelphia 76ers,100,Miami Heat,87,,Box Score,
2014-04-16,Atlanta Hawks,111,Milwaukee Bucks,103,,Box Score,
2014-04-16,Utah Jazz,136,Minnesota Timberwolves,130,2OT,Box Score,
2014-04-16,Houston Rockets,100,New Orleans Pelicans,105,,Box Score,
2014-04-16,Toronto Raptors,92,New York Knicks,95,,Box Score,
2014-04-16,Detroit Pistons,111,Oklahoma City Thunder,112,,Box Score,
2014-04-16,Los Angeles Lakers,113,San Antonio Spurs,100,,Box Score,
2014-04-16,Golden State Warriors,116,Denver Nuggets,112,,Box Score,
2014-04-16,Los Angeles Clippers,104,Portland Trail Blazers,110,,Box Score,
2014-04-16,Phoenix Suns,104,Sacramento Kings,99,,Box Score,
